iso3,m49,name_en,jica_name,dac_oda_recipient_2024,jica_relation,supervising_offices,jica_country_page
AFG,004,Afghanistan,Afghanistan,yes,country_page_and_purview,JICA Afghanistan Office,https://www.jica.go.jp/english/overseas/afghanistan/index.html
AGO,024,Angola,Angola,yes,country_page_and_purview,JICA Angola Office,https://www.jica.go.jp/english/overseas/angola/index.html
ALB,008,Albania,Albania,yes,country_page_and_purview,JICA Balkan Office,https://www.jica.go.jp/english/overseas/albania/index.html
ARG,032,Argentina,Argentine,yes,country_page_and_purview,JICA Argentine Office,https://www.jica.go.jp/english/overseas/argentine/index.html
ARM,051,Armenia,Armenia,yes,country_page_and_purview,JICA Uzbekistan Office,https://www.jica.go.jp/english/overseas/armenia/index.html
ATG,028,Antigua and Barbuda,Antigua and Barbuda,no,purview_only,JICA Dominican Republic Office,
AZE,031,Azerbaijan,Azerbaijan,yes,country_page_and_purview,JICA Uzbekistan Office,https://www.jica.go.jp/english/overseas/azerbaijan/index.html
BDI,108,Burundi,Burundi,yes,country_page_and_purview,JICA Rwanda Office,https://www.jica.go.jp/english/overseas/burundi/index.html
BEN,204,Benin,Benin,yes,country_page_and_purview,JICA Côte d'Ivoire Office (JICA EN Côte d'Ivoire); JICA/JOCV Benin Office,https://www.jica.go.jp/english/overseas/benin/index.html
BFA,854,Burkina Faso,Burkina Faso,yes,country_page_and_purview,JICA Burkina Faso Office,https://www.jica.go.jp/english/overseas/burkinafaso/index.html
BGD,050,Bangladesh,Bangladesh,yes,country_page_and_purview,JICA Bangladesh Office,https://www.jica.go.jp/english/overseas/bangladesh/index.html
BHS,044,Bahamas,Bahamas,no,purview_only,JICA Dominican Republic Office,
BIH,070,Bosnia and Herzegovina,Bosnia and Herzegovina,yes,country_page_and_purview,JICA Balkan Office,https://www.jica.go.jp/english/overseas/bosnia/index.html
BLZ,084,Belize,Belize,yes,country_page_and_purview,JICA Belize Office; JICA El Salvador Office,https://www.jica.go.jp/english/overseas/belize/index.html
BOL,068,Bolivia (Plurinational State of),Bolivia,yes,country_page_and_purview,JICA Bolivia Office,https://www.jica.go.jp/english/overseas/bolivia/index.html
BRA,076,Brazil,Brazil,yes,country_page_and_purview,JICA Brazil Office,https://www.jica.go.jp/english/overseas/brazil/index.html
BRB,052,Barbados,Barbados,no,purview_only,JICA Dominican Republic Office,
BTN,064,Bhutan,Bhutan,yes,country_page_and_purview,JICA Bhutan Office,https://www.jica.go.jp/english/overseas/bhutan/index.html
BWA,072,Botswana,Botswana,yes,country_page_and_purview,JICA Botswana Office; JICA South Africa Office,https://www.jica.go.jp/english/overseas/botswana/index.html
CAF,140,Central African Republic,Central African,yes,purview_only,JICA Cameroon Office,
CHL,152,Chile,Chile,no,country_page_and_purview,JICA Chile Office; JICA Peru Office,https://www.jica.go.jp/english/overseas/chile/index.html
